Feature,Importance
MonthlyIncome,0.08420252177064143
OverTime,0.07739413572878773
Age,0.0657840523546211
DailyRate,0.05576247415232921
TotalWorkingYears,0.05167988622049278
YearsAtCompany,0.051535826164594574
HourlyRate,0.050279597668453184
DistanceFromHome,0.05026050503180032
StockOptionLevel,0.0466821812487781
YearsInCurrentRole,0.04042550698831692
PercentSalaryHike,0.03636867958865628
JobLevel,0.03557003125183241
NumCompaniesWorked,0.03459840249724162
YearsWithCurrManager,0.03438758151970957
JobSatisfaction,0.031999423874798594
MaritalStatus,0.029834036087318192
YearsSinceLastPromotion,0.02954044890404481
TrainingTimesLastYear,0.029080933290757078
EnvironmentSatisfaction,0.02650333967334933
Education,0.024444618277001225
RelationshipSatisfaction,0.022356025360039892
Department,0.021290805352173172
JobInvolvement,0.021130367603660122
WorkLifeBalance,0.01919306670073269
BusinessTravel,0.014439429670621723
Gender,0.010162863000653905
PerformanceRating,0.005093260018594198
