Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education_Level,EnvironmentSatisfaction_Level,JobInvolvement_Level,JobSatisfaction_Level,PerformanceRating_Level,RelationshipSatisfaction_Level,WorkLifeBalance_Level,EmployeeID,RecordCreationDate,LastUpdatedDate,TenurePerCompany,IncomePerYearOfService
41,Yes,2,1102,2,1,2,1,1,1,2,0,94,3,2,7,4,2,5993,19479,8,0,1,11,3,1,80,0,8,0,1,6,4,0,5,College,Medium,High,Very High,Excellent,Low,Bad,088678b7-ebe4-48e0-a09f-2765894c54e6,2025-04-23 17:27:03,2025-04-23 17:27:03,0.8888888888888888,856.1428571428571
49,No,1,279,1,8,1,1,1,2,3,1,61,2,2,6,2,1,5130,24907,1,0,0,23,4,4,80,1,10,3,3,10,7,1,7,Below College,High,Medium,Medium,Outstanding,Very High,Better,2c4d4863-d67b-47c8-9fc9-a904a07bf7d3,2025-04-23 17:27:03,2025-04-23 17:27:03,5.0,466.3636363636364
37,Yes,2,1373,1,2,2,4,1,4,4,1,92,2,1,2,3,2,2090,2396,6,0,1,15,3,2,80,0,7,3,3,0,0,0,0,College,Very High,Medium,High,Excellent,Medium,Better,4e488231-a72d-4a32-bc11-aab6bcecb7bd,2025-04-23 17:27:03,2025-04-23 17:27:03,1.0,2090.0
33,No,1,1392,1,3,4,1,1,5,4,0,56,3,1,6,3,1,2909,23159,1,0,1,11,3,3,80,0,8,3,3,8,7,3,0,Master,Very High,High,High,Excellent,High,Better,a93d4901-6d6d-4175-b297-48303fb3a3cf,2025-04-23 17:27:03,2025-04-23 17:27:03,4.0,323.22222222222223
27,No,2,591,1,2,1,3,1,7,1,1,40,3,1,2,2,1,3468,16632,9,0,0,12,3,4,80,1,6,3,3,2,2,2,2,Below College,Low,High,Medium,Excellent,Very High,Better,a3b955f4-a832-4cba-a6b5-e22e152065e2,2025-04-23 17:27:03,2025-04-23 17:27:03,0.6,1156.0
32,No,1,1005,1,2,2,1,1,8,4,1,79,3,1,2,4,2,3068,11864,0,0,0,13,3,3,80,0,8,2,2,7,7,3,6,College,Very High,High,Very High,Excellent,High,Good,a904379a-3ff2-45d7-a265-47b3fcb85ac5,2025-04-23 17:27:03,2025-04-23 17:27:03,8.0,383.5
59,No,2,1324,1,3,3,3,1,10,3,0,81,4,1,2,1,1,2670,9964,4,0,1,20,4,1,80,3,12,3,2,1,0,0,0,Bachelor,High,Very High,Low,Outstanding,Low,Good,8fbcd401-999f-4b63-9b80-a5246455b6c7,2025-04-23 17:27:03,2025-04-23 17:27:03,2.4,1335.0
30,No,2,1358,1,24,1,1,1,11,4,1,67,3,1,2,3,0,2693,13335,1,0,0,22,4,2,80,1,1,2,3,1,0,0,0,Below College,Very High,High,High,Outstanding,Medium,Better,642264fe-b205-46df-bd22-238f441e905d,2025-04-23 17:27:03,2025-04-23 17:27:03,0.5,1346.5
38,No,1,216,1,23,3,1,1,12,4,1,44,2,3,4,3,2,9526,8787,0,0,0,21,4,2,80,0,10,2,3,9,7,1,8,Bachelor,Very High,Medium,High,Outstanding,Medium,Better,3f7c6921-39d9-413c-8e35-cdb75adeaa72,2025-04-23 17:27:03,2025-04-23 17:27:03,10.0,952.6
36,No,2,1299,1,27,3,3,1,13,3,1,94,3,2,0,3,1,5237,16577,6,0,0,13,3,2,80,2,17,3,2,7,7,7,7,Bachelor,High,High,High,Excellent,Medium,Good,88a3f3a1-fec6-47cb-93aa-2a246b23543d,2025-04-23 17:27:03,2025-04-23 17:27:03,2.4285714285714284,654.625
